id,listing_url,scrape_id,last_scraped,source,name,neighborhood_overview,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
3083,https://www.airbnb.com/rooms/3083,20231220185646,2023-12-20,city scrape,Home in Oakland · *4.73 · 1 bedroom · 1 bed · 1 shared bath,The neighborhood is in a historic district with beautiful Victorian homes that are over 100 years old. It's close to the BART train and most major freeways. The weather is generally warm and pleasant.,3518,https://www.airbnb.com/users/show/3518,Traci,2008-10-08,"Oakland, CA","Hello! I am Traci, an artist and activist who has been at the forefront of Oakland's cultural renaissance for many years. As a native of ""The Town"" I offer experiential living thats rooted in care, my creativity as a performance and visual artist, and my heritage of black farmers. 

My rooms are cozy, the art gallery inspiring, fun tours and a lush garden can make you feel grounded and rejuvenated. Come stay with me, book an experience, or both!",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/407462e1-52dd-4eab-80c2-0c8e2b94a496.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/407462e1-52dd-4eab-80c2-0c8e2b94a496.jpg?aki_policy=profile_x_medium,Prescott,7,7,"['email', 'phone']",t,t,"Oakland, California, United States",Prescott,,37.81013,-122.29266,Private room in home,Private room,2,,1 shared bath,,1,[],$44.00,2,30,2,2,30,30,2.0,30.0,,t,30,60,90,365,2023-12-20,59,3,1,2014-08-02,2023-11-30,4.73,4.76,4.64,4.86,4.88,4.58,4.68,,t,7,0,7,0,0.52
3264,https://www.airbnb.com/rooms/3264,20231220185646,2023-12-20,city scrape,Home in Oakland · *4.52 · 1 bedroom · 1 bed · 1 shared bath,This neighborhood has become very very popular recently. New restaurants and fun shops opening all the time. Free outdoor cinema in summer. Lots of street festivals. Farmer's market at DMV on Sundays. It is a very lively neighborhood.,3241,https://www.airbnb.com/users/show/3241,Rebecca,2008-09-27,"Oakland, CA","Artist, teacher, gardner, recycler/reuser. 

",within a few hours,100%,44%,t,https://a0.muscache.com/im/users/3241/profile_pic/1356474407/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3241/profile_pic/1356474407/original.jpg?aki_policy=profile_x_medium,Temescal,4,10,"['email', 'phone']",t,t,"Oakland, California, United States",Temescal,,37.83522,-122.26099,Private room in home,Private room,1,,1 shared bath,,1,[],$57.00,12,60,12,12,60,60,12.0,60.0,,t,18,48,78,78,2023-12-20,37,0,0,2009-07-13,2022-09-08,4.52,4.29,4.0,4.81,4.95,4.67,4.38,,f,4,0,4,0,0.21
5739,https://www.airbnb.com/rooms/5739,20231220185646,2023-12-20,city scrape,Guest suite in Oakland · *4.97 · Studio · 1 bed · 1 bath,"We love the proximity to great restaurants, Whole Foods market, entertainment and transit options, while still feeling residential.",9276,https://www.airbnb.com/users/show/9276,Leah And Gyorgy,2009-03-06,"Oakland, CA","We are a conscientious couple and will take good care of your place, and trust you will do the same with ours!  We are involved in the arts (music, dance, even food!) and love to share our love of the Bay Area with others. We look forward to meeting you...or your home!",within an hour,100%,96%,t,https://a0.muscache.com/im/users/9276/profile_pic/1259100072/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/9276/profile_pic/1259100072/original.jpg?aki_policy=profile_x_medium,Harrison Street/Oakland Avenue,1,2,"['email', 'phone']",t,t,"Oakland, California, United States",Adams Point,,37.81266314006893,-122.25804724258587,Entire guest suite,Entire home/apt,2,,1 bath,,1,[],$100.00,4,29,4,4,1125,1125,4.0,1125.0,,t,23,53,83,83,2023-12-20,320,18,0,2009-07-14,2023-11-09,4.97,4.97,4.97,4.97,4.98,4.92,4.92,,f,1,1,0,0,1.82
23637,https://www.airbnb.com/rooms/23637,20231220185646,2023-12-20,city scrape,Home in Oakland · *4.87 · 1 bedroom · 1 bed · 1 private bath,"Quiet residential neighborhood surrounded by oak and redwood trees.  Close to Temescal lake and Park. Quick walk to our charming Montclair shopping area where you will find grocery stores, restaurants, coffee places, boutiques, Sunday farmer's market, library, bank and post office as well as pond and park. Although bus stops are nearby, most buses are commuter buses and run limited hours. A car is needed to get where you want to go at any time. BART, our Metro transport, is not far; however, you do need to drive there.",93339,https://www.airbnb.com/users/show/93339,Mika,2010-03-14,"Oakland, CA","College instructor. Love the outdoors: running, windsurfing, snow skiing, hiking Also love traveling to near and far places and meeting people from different cultures. Love the idea of a shared community that encompasses the world!

My motto: Carpe Diem",N/A,N/A,0%,f,https://a0.muscache.com/im/users/93339/profile_pic/1268623349/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/93339/profile_pic/1268623349/original.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Oakland, California, United States",Montclair,,37.82994,-122.20976,Private room in home,Private room,1,,1 private bath,,1,[],$75.00,7,100,7,7,100,100,7.0,100.0,,t,28,58,88,363,2023-12-20,49,0,0,2010-03-17,2022-08-27,4.87,4.82,4.97,4.97,4.89,4.95,4.89,,f,1,0,1,0,0.29
24916,https://www.airbnb.com/rooms/24916,20231220185646,2023-12-21,city scrape,Guest suite in Oakland · *4.52 · Studio · 2 beds · 1 bath,"great neighborhood, for walking , beautiful gardens,grocery shopping very close by, restaurants, movie theater, bus ,BART nearby",98716,https://www.airbnb.com/users/show/98716,Judy,2010-03-25,"Oakland, CA","I have lived in this area my whole life and really enjoy sharing with guests all the wonderful restaurants,shops, and attractions we have to offer here!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/565b924d-0c40-444f-aad4-6fd39ef0f659.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/565b924d-0c40-444f-aad4-6fd39ef0f659.jpg?aki_policy=profile_x_medium,Piedmont Avenue,2,5,"['email', 'phone']",t,t,"Oakland, California, United States",Piedmont Avenue,,37.83169,-122.25175,Entire guest suite,Entire home/apt,2,,1 bath,,2,[],$109.00,21,180,2,21,1125,1125,20.2,1125.0,,t,0,0,0,0,2023-12-21,135,6,1,2010-06-29,2023-11-21,4.52,4.56,4.48,4.79,4.7,4.83,4.54,,f,2,2,0,0,0.82
29521,https://www.airbnb.com/rooms/29521,20231220185646,2023-12-21,previous scrape,Home in Oakland · *4.64 · 2 bedrooms · 2 beds · 1 bath,"Centrally located, walking distance to markets, boutiques, restaurants, parks and outdoor activities. Great neighborhood!",124220,https://www.airbnb.com/users/show/124220,Kymi,2010-05-13,"Chicago, IL",I am a bi-coastal singer-songwriter who also works in high tech consulting. I have a wonderfully creative and incredibly smart son; and plenty of sunshine and loveliness to share!,within an hour,100%,93%,f,https://a0.muscache.com/im/pictures/user/User-124220/original/91df060b-7db3-4870-81f8-1d76b542b264.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-124220/original/91df060b-7db3-4870-81f8-1d76b542b264.jpeg?aki_policy=profile_x_medium,Shafter,3,4,"['email', 'phone']",t,t,"Oakland, California, United States",Shafter,,37.83618,-122.25581,Entire home,Entire home/apt,4,,1 bath,,2,[],,5,30,5,5,30,30,5.0,30.0,,,0,0,0,0,2023-12-21,37,1,1,2011-07-23,2023-11-27,4.64,4.76,4.57,4.7,4.84,4.95,4.73,,f,2,2,0,0,0.24
31573,https://www.airbnb.com/rooms/31573,20231220185646,2023-12-21,city scrape,Home in Oakland · *4.48 · 3 bedrooms · 3 beds · 1.5 baths,"Great neighborhood for walking, beautiful gardens",98716,https://www.airbnb.com/users/show/98716,Judy,2010-03-25,"Oakland, CA","I have lived in this area my whole life and really enjoy sharing with guests all the wonderful restaurants,shops, and attractions we have to offer here!",within an hour,100%,100%,f,https://a0.muscache.com/im/pictures/user/565b924d-0c40-444f-aad4-6fd39ef0f659.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/565b924d-0c40-444f-aad4-6fd39ef0f659.jpg?aki_policy=profile_x_medium,Piedmont Avenue,2,5,"['email', 'phone']",t,t,"Oakland, California, United States",Piedmont Avenue,,37.83234,-122.25101,Entire home,Entire home/apt,4,,1.5 baths,,3,[],$221.00,28,365,28,28,365,365,28.0,365.0,,t,0,8,18,79,2023-12-21,163,5,0,2010-11-16,2023-01-24,4.48,4.65,4.49,4.74,4.62,4.76,4.53,,f,2,2,0,0,1.02
36702,https://www.airbnb.com/rooms/36702,20231220185646,2023-12-20,city scrape,Home in Oakland · *4.90 · 2 bedrooms · 3 beds · 1 bath,"Our neighborhood is walking distance to shopping and restaurants in Temescal and Rockridge.  There are lots of families in the neighborhood.  There is always someone walking their dog. <br />It is a 15 minute walk to the following BART stations--Rockridge, Ashby, MacArthur.  There are bus stops toward Berkeley and Downtown Oakland two blocks away.  Access to all freeways is very close.  It is a 20 minute drive to San Francisco without traffic!  There is plenty of street parking.  <br />It is a short ride by bike or car to UC Berkeley, Lake Merritt, Uptown, Downtown Oakland.  It is an easy drive to all of the beautiful East Bay Regional Parks.  <br />We are only 8 blocks to the best grocery/produce store in the world--Berkeley Bowl.  There are lots of farmer's markets within walking distance.",119361,https://www.airbnb.com/users/show/119361,Vito,2010-05-06,"Oakland, CA","We are both chefs. We are excited to travel to new places and enjoy the world’s food. 

We have rented many vacation apartments and have rented our house.  We treat your apartment like our own.",within a few hours,100%,88%,t,https://a0.muscache.com/im/pictures/user/912ef789-0dea-4945-b78a-80615d46f5ed.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/912ef789-0dea-4945-b78a-80615d46f5ed.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Oakland, California, United States",Bushrod,,37.84219,-122.26779,Entire home,Entire home/apt,4,,1 bath,,3,[],$125.00,7,29,7,7,29,29,7.0,29.0,,t,0,0,17,220,2023-12-20,39,5,0,2010-08-25,2023-10-16,4.9,4.95,4.95,5.0,4.97,4.79,4.84,,f,1,1,0,0,0.24
43343,https://www.airbnb.com/rooms/43343,20231220185646,2023-12-21,previous scrape,Rental unit in Oakland · *5.0 · 1 bedroom · 1 bed · 1 bath,"20 min walk to UC Berkeley. This area is excellent for bike lovers as well.<br />Places to eat include: Doña Tomas, Bakesale Betty, Cholita Linda, Wood Tavern, and all sorts of other great places to eat on College Ave. Berkeley Bowl, Whole Foods and the Tuesday and Saturday, and Sunday Farmers Markets are walking distance too.<br />I'm happy to help arrange (most) anything that would make your stay more enjoyable.",147060,https://www.airbnb.com/users/show/147060,Jonathan,2010-06-17,"Oakland, CA","Always searching for something delicious to eat. I love dessert and think it should be eaten first!
I love to garden, ride my bike and visit farmers markets.
Im originally from the San Francisco Bay Area. 
Some of my best travel experiences have been the unexpected and I look forward to discovering something new on my next trip.",within an hour,100%,100%,t,https://a0.muscache.com/im/users/147060/profile_pic/1408635439/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/147060/profile_pic/1408635439/original.jpg?aki_policy=profile_x_medium,Bushrod,2,6,"['email', 'phone']",t,t,"Oakland, California, United States",Bushrod,,37.84298,-122.26222,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],,14,29,14,14,29,29,14.0,29.0,,,0,0,0,0,2023-12-21,22,0,0,2014-10-17,2019-06-24,5.0,5.0,4.95,4.77,4.95,4.68,4.91,,f,2,2,0,0,0.20
46787,https://www.airbnb.com/rooms/46787,20231220185646,2023-12-20,city scrape,Home in Oakland · *4.86 · 1 bedroom · 1 bed · 1 shared bath,"Home is smack dab right in the heart of Temescal, Oakland's cool super hip neighborhood. With tons of great restaurants, shops and cafes just down the street--every month there seem to be new ones, covering a multitude of countries, Ethiopia, Mexico, India, Italy, Spain, Korea, Japan, Burma, Southern US all well represented--To name some you could look up: Pizzaiolo, Burma Superstar, Beauty Bagels, La Cholita Linda (great fish tacos), Asmara (Ethiopian), Bakesale Betty's, Koryo Sushi, Tofu House...and then Peet's Coffee...It is a food lover's spot.",3241,https://www.airbnb.com/users/show/3241,Rebecca,2008-09-27,"Oakland, CA","Artist, teacher, gardner, recycler/reuser. 

",within a few hours,100%,44%,t,https://a0.muscache.com/im/users/3241/profile_pic/1356474407/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/3241/profile_pic/1356474407/original.jpg?aki_policy=profile_x_medium,Temescal,4,10,"['email', 'phone']",t,t,"Oakland, California, United States",Temescal,,37.83571,-122.25887,Private room in home,Private room,1,,1 shared bath,,1,[],$74.00,14,60,14,14,60,60,14.0,60.0,,t,19,49,79,169,2023-12-20,18,2,0,2010-10-25,2023-09-04,4.86,4.56,4.25,5.0,4.88,4.75,4.47,,f,4,0,4,0,0.11
